"SAMPLE","CASEID","IDHSPID","IDHSHID","HHID","HHNUM","PSU","STRATA","DOMAIN","PERWEIGHT","DVWEIGHT","URBAN","CLUSTERNO","DISTRICT","RESIDENT","ELECTRCHH","COOKFUEL","HUSJOB","EDUCLVL","SAMPLESTR","DHSID"
2884,"           10 6  2","   2884        10 6  2","   2884        10 6","           10 6",6,10,52,5,1.003423,,2,10,3,1,0,530,40,2,"2884","GH200300000010"
2884,"           10 7  2","   2884        10 7  2","   2884        10 7","           10 7",7,10,52,5,1.003423,,2,10,3,1,0,530,40,2,"2884","GH200300000010"
2884,"           10 8  2","   2884        10 8  2","   2884        10 8","           10 8",8,10,52,5,1.003423,,2,10,3,1,0,530,40,0,"2884","GH200300000010"
2884,"           1010  2","   2884        1010  2","   2884        1010","           1010",10,10,52,5,1.003423,,2,10,3,1,0,530,40,0,"2884","GH200300000010"
2884,"           1016  2","   2884        1016  2","   2884        1016","           1016",16,10,52,5,1.003423,,2,10,3,1,0,530,40,1,"2884","GH200300000010"
2884,"           1016  3","   2884        1016  3","   2884        1016","           1016",16,10,52,5,1.003423,,2,10,3,1,0,530,99,2,"2884","GH200300000010"
2884,"           1020  3","   2884        1020  3","   2884        1020","           1020",20,10,52,5,1.003423,,2,10,3,1,0,530,20,1,"2884","GH200300000010"
2884,"           11 1  2","   2884        11 1  2","   2884        11 1","           11 1",1,11,127,6,1.083615,,2,11,13,1,1,530,40,2,"2884","GH200300000011"
2884,"           11 7  2","   2884        11 7  2","   2884        11 7","           11 7",7,11,127,6,1.083615,,2,11,13,1,1,530,40,1,"2884","GH200300000011"
2884,"           11 8  2","   2884        11 8  2","   2884        11 8","           11 8",8,11,127,6,1.083615,,2,11,13,1,0,530,62,2,"2884","GH200300000011"
2884,"           1111  1","   2884        1111  1","   2884        1111","           1111",11,11,127,6,1.083615,,2,11,13,1,1,530,40,2,"2884","GH200300000011"
2884,"           1111  2","   2884        1111  2","   2884        1111","           1111",11,11,127,6,1.083615,,2,11,13,1,1,530,99,0,"2884","GH200300000011"
2884,"           1113  1","   2884        1113  1","   2884        1113","           1113",13,11,127,6,1.083615,,2,11,13,1,1,530,99,2,"2884","GH200300000011"
2884,"           1116  2","   2884        1116  2","   2884        1116","           1116",16,11,127,6,1.083615,,2,11,13,1,0,530,99,1,"2884","GH200300000011"
2884,"           1117  1","   2884        1117  1","   2884        1117","           1117",17,11,127,6,1.083615,,2,11,13,1,1,530,61,2,"2884","GH200300000011"
